count,mean,var
CLM_AMT,CLM_AMT,CLM_AMT
1,0.0,
1,0.0,
348,1054.0488505747126,10371205.205099544
1,0.0,
1,0.0,
53,3402.9622641509436,109361155.46008705
16,961.4375,4574504.129166666
62,1358.983870967742,4603690.180063458
27,3200.037037037037,51695819.80626781
17,4944.470588235294,94383005.26470587
34,612.6470588235294,1999680.174688057
7,379.85714285714283,1010040.1428571427
14,1600.5714285714287,4020967.956043956
4,677.25,1506304.9166666667
8,666.625,1596627.6964285714
3,0.0,0.0
2,0.0,0.0
1,0.0,
1,0.0,
1,0.0,
8,0.0,0.0
1,0.0,
2,0.0,0.0
1,0.0,
24,690.4583333333334,7407262.954710144
5,2103.0,4890503.0
2,1372.5,3767512.5
2,3440.0,23667200.0
1,2446.0,
1,0.0,
1,0.0,
58,663.3793103448276,2793377.15184513
6,0.0,0.0
1,0.0,
9,580.7777777777778,1048084.4444444445
6,2798.0,7013696.8
4,1883.25,6110280.916666667
6,922.1666666666666,1864417.7666666664
1,3514.0,
1,1418.0,
4,2753.5,12882020.333333336
80,1485.975,34771143.1892405
14,605.3571428571429,2775378.7087912085
5,1553.0,12059045.0
12,7532.333333333333,497054002.2424242
5,0.0,0.0
6,0.0,0.0
11,3277.3636363636365,46146460.254545465
3,1714.3333333333333,8816816.333333334
2,1948.5,7593304.5
2,0.0,0.0
1,0.0,
1,0.0,
104,622.2019230769231,2925140.99766617
14,935.5714285714286,3649987.802197802
1,0.0,
9,1281.7777777777778,4020155.4444444445
5,0.0,0.0
5,1373.8,4955823.2
8,281.875,635628.125
4,631.0,1592643.9999999998
1,16678.0,
1,6023.0,
121,1229.01652892562,17733460.59972452
13,724.0769230769231,3361286.076923076
5,8620.4,116642320.3
9,0.0,0.0
8,1543.5,4704368.0
6,1155.3333333333333,8008770.666666667
11,281.09090909090907,869133.0909090908
2,1742.0,1847042.0
2,0.0,0.0
1,2972.0,
6,2779.8333333333335,9835611.766666666
1,0.0,
110,725.7,4851304.413761467
1,4638.0,
12,497.25,1585590.7500000002
4,912.75,3332450.25
21,882.0,3079693.1
5,1667.0,4702404.0
7,1153.4285714285713,5529051.285714286
5,990.6,4906441.8
3,0.0,0.0
4,722.0,2085136.0
4,5894.0,81855382.0
116,581.7758620689655,6360424.366716636
1,0.0,
14,1216.857142857143,6446971.20879121
6,661.8333333333334,2628140.166666667
16,1395.375,5022086.383333334
5,1772.2,6292450.199999999
3,0.0,0.0
7,915.5714285714286,5867897.2857142845
2,0.0,0.0
2,0.0,0.0
1,4953.0,
124,230.2741935483871,892857.4201416206
9,0.0,0.0
5,2155.8,9256374.200000001
8,0.0,0.0
5,1140.6,2554755.8
3,0.0,0.0
3,1187.3333333333333,4229281.333333334
2,0.0,0.0
1,0.0,
2,0.0,0.0
99,762.040404040404,8147082.67182024
3,0.0,0.0
2,3721.5,27699124.5
4,0.0,0.0
7,1730.857142857143,3578271.142857143
1,0.0,
8,990.375,5853533.696428572
1,0.0,
1,0.0,
2,0.0,0.0
84,348.20238095238096,1520083.1031267932
1,0.0,
6,0.0,0.0
9,632.6666666666666,2845054.0
5,2507.2,31430259.2
3,0.0,0.0
2,1489.5,4437220.5
2,0.0,0.0
1,14585.0,
1,2493.0,
80,421.8875,2029224.4302215194
3,0.0,0.0
2,0.0,0.0
5,0.0,0.0
2,0.0,0.0
2,2452.5,12029512.5
4,407.75,665040.2500000001
2,0.0,0.0
1,0.0,
1,313.0,
98,261.5612244897959,864103.6920892068
1,0.0,
5,0.0,0.0
5,2410.8,12617931.2
4,0.0,0.0
2,0.0,0.0
1,0.0,
2,307.5,189112.5
71,247.8450704225352,955165.3899396381
9,448.0,1806336.0
1,5453.0,
5,1137.8,6472944.2
2,0.0,0.0
1,15196.0,
2,3055.5,18672160.5
2,0.0,0.0
60,306.18333333333334,1398588.0844632771
5,2185.0,6535211.5
2,0.0,0.0
4,916.5,3359889.0
2,0.0,0.0
3,0.0,0.0
1,0.0,
1,4206.0,
40,243.55,1358179.741025641
2,0.0,0.0
4,0.0,0.0
1,0.0,
1,0.0,
1,15721.0,
1,0.0,
1,28706.0,
33,96.75757575757575,308946.93939393945
2,0.0,0.0
1,0.0,
2,0.0,0.0
2,0.0,0.0
1,0.0,
20,480.75,1867141.5657894737
3,388.3333333333333,452408.3333333334
1,0.0,
1,0.0,
11,0.0,0.0
2,0.0,0.0
1,0.0,
1,0.0,
3,0.0,0.0
10,302.2,913248.4000000001
5,0.0,0.0
1,0.0,
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
1,0.0,
3,0.0,0.0
104,2303.8365384615386,28840219.361370426
11,2500.6363636363635,36230276.45454545
3,3182.0,15063132.0
7,7306.285714285715,294593804.90476185
2,4061.0,1438208.0
2,2379.5,7178260.5
5,3443.6,12063565.3
3,4591.0,63231843.0
1,3498.0,
1,5359.0,
1,0.0,
1,3668.0,
1,0.0,
1,0.0,
1,6145.0,
1,0.0,
1,0.0,
1,4878.0,
4,1431.25,8193906.25
1,5273.0,
16,263.25,1108809.0
6,5127.5,108178110.3
2,3264.0,21307392.0
2,726.5,1055604.5
21,453.42857142857144,1471316.1571428569
2,0.0,0.0
2,3669.0,26923122.0
1,0.0,
4,0.0,0.0
2,0.0,0.0
24,1360.1666666666667,5816347.275362318
1,0.0,
3,0.0,0.0
3,0.0,0.0
2,6905.0,95358050.0
1,3979.0,
2,0.0,0.0
41,839.219512195122,3183655.5756097557
6,2726.5,2528817.1
3,1336.3333333333333,1434512.3333333335
2,0.0,0.0
1,3905.0,
2,0.0,0.0
1,34992.0,
37,1301.8918918918919,8102550.0990991
3,1725.6666666666667,8933776.333333332
1,0.0,
2,2310.5,10676820.5
1,60847.0,
2,0.0,0.0
1,0.0,
35,837.5428571428571,2872834.2554621845
2,0.0,0.0
4,0.0,0.0
2,2391.0,11433762.0
1,0.0,
2,3737.0,3505952.0
38,2360.684210526316,45290936.00568989
3,1364.3333333333333,5584216.333333334
1,2362.0,
3,7925.333333333333,95661205.33333334
2,31155.0,1534136832.0
1,0.0,
2,2008.5,8068144.5
36,1067.7222222222222,4766801.349206349
4,1134.75,5150630.25
3,2884.3333333333335,24958136.333333332
2,41615.0,2776466162.0
1,3929.0,
2,2243.5,10066584.5
1,0.0,
43,1776.4418604651162,36882246.728682175
1,19247.0,
3,1117.6666666666667,3747536.333333333
1,0.0,
1,0.0,
39,1560.3846153846155,19441522.34817814
1,0.0,
5,1171.6,2815920.3
4,0.0,0.0
3,4096.666666666667,13309508.333333332
1,4090.0,
42,1160.6190476190477,7493709.363530778
2,0.0,0.0
1,4847.0,
1,17425.0,
1,0.0,
1,0.0,
21,147.9047619047619,459392.1904761905
2,0.0,0.0
1,0.0,
1,0.0,
1,4276.0,
2,2711.5,14704464.5
1,2522.0,
32,838.90625,5171836.152217744
1,0.0,
1,0.0,
1,0.0,
1,0.0,
1,0.0,
19,3159.8947368421054,81275118.54385965
1,0.0,
2,4354.0,4181832.0
1,5349.0,
17,406.8235294117647,2813591.529411765
1,3329.0,
1,0.0,
2,4884.5,3900424.5
12,963.8333333333334,3901804.8787878784
2,0.0,0.0
2,26785.5,1434926020.5
1,0.0,
5,0.0,0.0
2,0.0,0.0
5,1038.0,5387220.0
5,0.0,0.0
1,3041.0,
2,1974.5,7797300.5
1,6767.0,
1,0.0,
289,1753.9446366782006,24993960.733035363
1,0.0,
48,1908.4166666666667,7859738.673758864
16,2202.5625,20242130.395833332
52,2001.4038461538462,13061518.872926096
22,4160.818181818182,113719876.82251084
11,3994.4545454545455,9571936.272727275
25,2712.08,28348695.24333334
6,1895.1666666666667,8787160.966666665
8,17665.375,1825711366.5535715
5,3483.6,8808154.3
12,530.5,1887376.636363636
1,0.0,
1,0.0,
1,0.0,
3,2119.3333333333335,8471761.333333334
7,4464.571428571428,42825139.28571428
2,2531.5,12816984.5
1,0.0,
1,0.0,
1,0.0,
26,2302.8076923076924,23794768.161538467
4,181.0,131044.0
1,0.0,
5,873.6,3815884.8
2,2681.5,14380884.5
1,0.0,
32,1340.09375,5124270.281249999
7,3046.8571428571427,12134285.142857144
2,2194.5,9631660.5
7,478.57142857142856,1603214.2857142854
2,0.0,0.0
5,0.0,0.0
1,0.0,
2,0.0,0.0
65,1136.4769230769232,3940045.0346153844
1,0.0,
8,4306.375,43609727.125
2,0.0,0.0
13,2307.3846153846152,12149981.756410258
3,4091.3333333333335,29184340.333333332
3,0.0,0.0
6,2487.1666666666665,14892228.166666668
2,0.0,0.0
1,0.0,
3,5301.333333333333,3119041.3333333335
82,1865.1707317073171,25907830.19271305
1,0.0,
3,772.6666666666666,1791041.3333333335
11,2753.0,5341528.4
3,0.0,0.0
12,2193.3333333333335,9339203.878787877
4,2401.25,8225006.25
3,13243.0,526131147.0
9,1805.888888888889,6872816.611111112
3,0.0,0.0
1,3337.0,
1,3340.0,
2,0.0,0.0
64,1137.296875,6862229.10094246
13,1090.1538461538462,3151367.4743589745
1,0.0,
8,2101.75,9841919.357142856
3,1026.0,815107.0
4,1664.75,3823963.5833333335
5,597.4,1784433.8
3,540.0,874800.0
4,3948.25,12851738.916666666
1,7865.0,
75,888.96,3169710.7686486486
5,0.0,0.0
4,2219.75,11775873.583333334
7,416.0,1211392.0000000002
2,4761.5,264264.5
7,2494.0,9311637.333333334
1,0.0,
3,2215.6666666666665,14727536.333333334
1,0.0,
60,1600.1666666666667,19994087.395480234
8,6166.25,146066613.0714286
3,0.0,0.0
9,2364.1111111111113,8648850.361111112
2,0.0,0.0
5,1567.2,4783421.7
2,12295.5,302358640.5
58,1004.4655172413793,4601948.288263761
6,1918.6666666666667,9019492.666666668
2,4033.5,32538244.5
6,183.0,200934.0
2,2149.0,9236402.0
1,4665.0,
1,0.0,
1,4537.0,
1,0.0,
1,3702.0,
48,772.375,3447877.5585106383
1,4573.0,
4,1950.25,15213900.25
6,1093.5,2930465.5
4,1594.5,4217237.666666667
2,15048.5,178434940.5
1,5657.0,
53,849.0566037735849,6275757.977503626
4,1496.75,8961042.25
8,3614.625,43537411.98214286
3,3164.6666666666665,7908236.333333334
1,0.0,
5,1929.0,7141403.0
3,2171.6666666666665,14148408.333333334
1,3161.0,
1,0.0,
38,990.6842105263158,4520611.681365577
7,3100.714285714286,48958805.57142857
2,981.0,1924722.0
3,0.0,0.0
1,0.0,
1,1220.0,
2,553.5,612724.5
1,0.0,
43,1026.6046511627908,4018375.2923588036
3,985.3333333333334,2912645.333333333
1,1029.0,
2,0.0,0.0
2,0.0,0.0
1,0.0,
1,0.0,
41,766.6585365853658,7985387.630487805
1,6217.0,
2,2519.5,95484.5
3,0.0,0.0
1,5150.0,
1,2214.0,
1,0.0,
1,0.0,
28,314.0357142857143,1406061.220899471
4,1478.25,8740892.25
1,1760.0,
2,0.0,0.0
1,4214.0,
1,29865.0,
21,1082.095238095238,6060210.090476191
4,3646.0,10708781.333333334
2,665.5,885780.5
2,6193.0,11732168.0
1,4815.0,
22,662.6363636363636,2209189.8614718616
1,2349.0,
1,0.0,
1,5996.0,
15,728.0,1561815.2857142857
1,0.0,
1,2424.0,
1,0.0,
6,0.0,0.0
2,1228.5,3018424.5
5,0.0,0.0
1,0.0,
1,0.0,
1,0.0,
1,0.0,
1,0.0,
363,1489.5179063360881,10568588.725507207
1,2582.0,
1,0.0,
85,1633.2588235294118,6182049.170308124
17,1560.6470588235295,5944511.24264706
78,2684.6794871794873,61532584.973859474
31,2524.967741935484,59427892.69892474
16,2522.4375,18356847.995833334
73,1580.5753424657535,7304298.8032724485
11,500.54545454545456,991070.472727273
15,1636.2666666666667,7495705.495238095
6,4951.166666666667,44150349.766666666
18,2925.1111111111113,54760740.222222224
5,1080.0,5832000.0
5,960.8,4615683.2
2,2309.0,10662962.0
3,2009.0,12108243.0
1,3892.0,
1,3158.0,
16,1491.8125,4232287.3625
2,2154.0,9279432.0
2,2402.0,11539208.0
1,0.0,
33,2240.4242424242425,14684746.12689394
7,365.2857142857143,934035.5714285715
1,0.0,
8,1200.0,5049107.428571428
4,1500.75,9009002.25
1,0.0,
1,0.0,
1,2492.0,
2,0.0,0.0
1,0.0,
61,2124.754098360656,64715464.221857935
10,752.6,2604168.9333333336
3,426.6666666666667,546133.3333333333
11,2112.909090909091,18582232.89090909
4,740.5,2193360.9999999995
3,2620.3333333333335,20598440.333333332
11,1640.6363636363637,17829706.454545453
3,0.0,0.0
5,922.8,4257799.2
1,1444.0,
4,827.75,2740680.25
78,1385.5,24320551.422077928
1,0.0,
19,336.7894736842105,729571.6198830409
3,0.0,0.0
19,1328.0526315789473,3143235.052631579
13,2493.3076923076924,16468913.230769232
5,4008.4,14273752.3
21,765.4285714285714,2378026.557142857
2,1044.0,2179872.0
1,0.0,
2,1258.5,3167644.5
4,872.5,3045025.0
1,1257.0,
1,0.0,
113,1369.3362831858408,23721658.010903902
3,0.0,0.0
23,1334.7391304347825,4733804.837944665
6,2774.3333333333335,28289467.46666666
21,1058.7142857142858,4169724.314285714
9,1175.5555555555557,4549298.777777778
3,0.0,0.0
13,2223.076923076923,6748702.910256411
3,452.3333333333333,613816.3333333334
1,5588.0,
3,259.6666666666667,202280.3333333333
4,802.75,2577630.2500000005
1,0.0,
1,2392.0,
1,7563.0,
103,964.0,7610396.470588239
1,5268.0,
24,3404.125,35759664.98369565
4,296.75,352242.25
18,2102.6666666666665,5768439.294117646
9,5789.555555555556,108152131.77777778
3,0.0,0.0
23,3912.608695652174,87389191.33992095
3,0.0,0.0
1,1205.0,
4,2232.75,8299596.916666667
1,0.0,
121,1319.6280991735537,6980207.318870521
24,2009.5416666666667,16125331.737318842
8,405.5,1315442.0
17,1794.8235294117646,9004202.904411765
6,1080.0,2904627.6
3,2174.6666666666665,14187525.333333334
11,713.3636363636364,2287755.654545455
6,0.0,0.0
5,3174.2,21476049.2
1,0.0,
1,0.0,
2,4030.0,32481800.0
92,1348.8695652173913,9277439.52126135
1,3542.0,
25,1472.44,13804545.256666666
6,2237.6666666666665,9160115.466666665
17,1251.4705882352941,6182577.514705883
13,5179.2307692307695,207740174.19230768
3,744.0,451252.0
10,3743.8,52580357.95555556
4,5612.25,94820934.91666664
2,0.0,0.0
1,6716.0,
97,1689.5360824742268,26904733.251288656
6,0.0,0.0
5,1364.0,3488672.0
15,2237.2,33038094.599999998
4,0.0,0.0
3,1131.0,3837483.0
5,2432.6,11613045.8
1,0.0,
2,489.5,479220.5
2,6676.0,89137952.0
96,1670.3958333333333,14160335.31535088
12,997.1666666666666,3789330.696969697
4,1892.75,5649923.583333333
12,748.75,3392496.2045454546
3,0.0,0.0
1,2487.0,
3,1382.6666666666667,5735301.333333333
4,0.0,0.0
3,4236.666666666667,17726233.333333332
1,0.0,
72,1057.361111111111,9677839.219874807
1,0.0,
10,2725.4,74278051.59999998
2,948.0,1797408.0
6,1525.6666666666667,5795472.666666666
6,415.6666666666667,1036672.6666666666
2,0.0,0.0
6,1400.3333333333333,5899251.866666667
2,1992.5,7940112.5
1,0.0,
4,3084.5,38056560.99999999
73,636.3698630136986,6303664.097412478
10,361.3,1305376.9
2,0.0,0.0
6,5200.0,139174051.6
1,0.0,
1,0.0,
2,5585.5,1009620.5
3,2450.6666666666665,4611909.333333334
2,2729.0,14894882.0
1,0.0,
59,1249.9322033898304,21969453.029807128
1,0.0,
1,4898.0,
6,0.0,0.0
1,2360.0,
5,2772.6,14429283.8
1,4246.0,
3,1715.6666666666667,8830536.333333332
2,4741.0,10736978.0
1,0.0,
43,1476.4418604651162,26072195.06201551
1,0.0,
6,915.8333333333334,5032504.166666666
5,227.4,258553.8
1,0.0,
2,2954.0,9609728.0
2,6533.5,238740.5
1,3762.0,
2,1984.0,7872512.0
1,2576.0,
51,769.0980392156863,3928519.130196079
1,5728.0,
4,5977.5,142922025.0
2,3981.5,375844.5
3,0.0,0.0
2,819.5,1343160.5
1,0.0,
1,3331.0,
33,146.63636363636363,499625.86363636365
1,0.0,
1,0.0,
2,2819.5,2156964.5
1,0.0,
34,1533.5882352941176,32989971.279857405
2,0.0,0.0
4,15098.25,239196436.91666666
2,1062.0,2255688.0
1,0.0,
1,0.0,
1,0.0,
1,0.0,
15,739.0,2383776.1428571427
2,0.0,0.0
1,2524.0,
1,6158.0,
1,3774.0,
1,0.0,
1,6993.0,
11,909.6363636363636,2468285.254545455
2,0.0,0.0
3,0.0,0.0
1,0.0,
1,8712.0,
4,975.25,3804450.2500000005
2,0.0,0.0
1,0.0,
1,0.0,
1,3900.0,
1,2723.0,
1,2009.0,
177,1946.9774011299435,48561837.24948638
32,1941.75,5426071.161290322
4,3252.25,11212150.25
40,1417.1,5802847.015384615
16,2397.4375,27256489.995833334
6,4985.166666666667,64586181.76666667
20,1541.75,4916984.302631579
10,2215.8,5472527.511111112
5,1312.2,8609344.200000001
9,2420.222222222222,11793487.194444444
3,1231.0,4546083.0
1,3676.0,
1,5064.0,
3,180.0,97200.0
2,3394.0,10876448.0
1,6042.0,
1,0.0,
6,0.0,0.0
2,0.0,0.0
1,865.0,
4,629.5,1585081.0
2,3240.5,21001680.5
6,895.6666666666666,2036416.6666666667
3,1728.6666666666667,8964865.333333332
4,2190.25,6433548.25
2,937.5,1757812.5
1,9742.0,
1,5273.0,
21,4204.666666666667,82761511.83333333
5,1019.4,3411360.8
7,877.4285714285714,5389166.285714285
1,0.0,
2,0.0,0.0
26,1040.1923076923076,5160971.28153846
9,2918.8888888888887,8148612.861111111
1,0.0,
9,2500.8888888888887,10589823.361111112
5,3019.0,3816791.5
1,0.0,
10,3425.1,11848800.1
1,0.0,
2,357.0,254898.0
44,1130.8181818181818,4423114.942917546
11,1791.1818181818182,5577779.163636363
2,0.0,0.0
10,2285.6,32538693.155555554
4,2235.0,5564784.666666667
1,5626.0,
3,0.0,0.0
1,0.0,
2,6573.0,9999392.0
1,0.0,
2,75.0,11250.0
50,1420.42,11596832.697551025
9,2137.777777777778,7863680.194444444
2,4749.0,583200.0
8,1881.875,8524388.69642857
7,1437.142857142857,3358026.142857143
5,5844.8,36065910.7
1,5391.0,
1,0.0,
1,0.0,
45,4143.288888888889,120579096.1191919
5,875.2,3829875.2
1,1956.0,
8,365.875,1070916.1250000002
2,0.0,0.0
5,793.2,3145831.2
3,1727.0,8947587.0
2,0.0,0.0
1,2686.0,
34,987.4411764705883,3722184.6176470593
4,1779.75,5995700.25
4,1984.25,6574124.249999999
4,6965.5,129688171.0
2,2510.5,12605220.5
4,662.75,1756950.25
2,2764.0,3287048.0
1,0.0,
41,1250.6341463414635,11272980.937804878
4,333.25,444222.25
3,649.0,1263603.0
7,1261.5714285714287,5168321.285714286
2,1491.0,4446162.0
6,638.1666666666666,2443540.166666667
2,0.0,0.0
1,0.0,
1,7491.0,
29,668.8965517241379,4459976.167487686
1,0.0,
1,2643.0,
4,1717.75,4128980.2499999995
5,1529.0,5210993.0
2,0.0,0.0
1,378.0,
28,1375.142857142857,6292211.089947092
5,0.0,0.0
1,4907.0,
4,3725.75,1357550.2500000002
2,3274.5,270112.5
1,0.0,
1,0.0,
31,731.3225806451613,2730936.0924731176
6,1484.6666666666667,5385812.666666666
4,2038.5,7279459.666666667
1,0.0,
2,0.0,0.0
1,0.0,
2,834.0,1391112.0
26,1652.7692307692307,5899220.344615384
2,0.0,0.0
2,0.0,0.0
1,4148.0,
20,926.4,4083558.042105262
1,10839.0,
2,0.0,0.0
1,0.0,
1,12633.0,
3,1658.3333333333333,8250208.333333334
1,0.0,
13,1652.4615384615386,6947457.602564103
1,0.0,
4,2178.5,18983449.000000004
1,1153.0,
1,0.0,
11,1555.1818181818182,3769467.9636363634
3,776.0,1806528.0
1,5453.0,
3,114.66666666666667,39445.33333333333
2,0.0,0.0
1,0.0,
1,2356.0,
1,6783.0,
8,948.875,3330633.5535714286
2,3434.0,23584712.0
1,0.0,
11,1926.0,5637898.6
1,0.0,
1,2639.0,
1,0.0,
9,1929.111111111111,7167642.861111112
1,0.0,
1,0.0,
3,0.0,0.0
1,0.0,
2,0.0,0.0
1,0.0,
136,2775.8970588235293,63621227.24858387
15,3185.9333333333334,58154168.06666666
2,0.0,0.0
16,1555.875,10213673.316666668
7,493.42857142857144,1704302.2857142857
2,0.0,0.0
11,665.6363636363636,2976493.4545454546
5,1669.8,13941160.2
1,0.0,
1,0.0,
2,2714.0,14731592.0
1,6097.0,
1,2175.0,
1,0.0,
3,35862.0,3858249132.0
1,0.0,
1,0.0,
9,112.11111111111111,113120.11111111112
2,0.0,0.0
1,0.0,
1,4011.0,
20,660.15,2709398.7657894734
1,5792.0,
1,3749.0,
5,391.6,766752.8000000002
1,3008.0,
25,1460.8,16513661.66666667
3,1579.6666666666667,7486040.333333333
4,2007.5,3353357.6666666665
2,8186.0,134021192.0
1,0.0,
1,0.0,
1,0.0,
29,8050.482758620689,363174397.8300492
5,7108.2,61785616.7
5,1751.6,5765332.8
2,4434.5,341964.5
1,0.0,
1,0.0,
1,0.0,
2,0.0,0.0
47,1174.5531914893618,3821824.0786308977
6,1092.1666666666667,3321175.366666666
1,0.0,
7,148.0,153328.00000000003
2,7320.5,379320.5
4,1144.25,5237232.25
2,7377.5,108855012.5
1,0.0,
1,5571.0,
36,724.6111111111111,2843496.987301588
3,0.0,0.0
2,0.0,0.0
7,0.0,0.0
1,0.0,
1,4544.0,
1,0.0,
1,0.0,
2,2728.5,14889424.5
50,1253.98,5586825.4485714305
3,1284.3333333333333,4948536.333333334
5,2384.6,5130033.8
4,2318.25,7165748.25
1,4623.0,
34,2329.529411764706,80243430.92335115
3,0.0,0.0
3,2901.0,7292941.0
5,2416.4,11034632.3
2,0.0,0.0
3,1418.0,6032172.0
1,0.0,
33,1051.060606060606,10618160.558712121
3,347.3333333333333,361921.3333333334
2,0.0,0.0
1,4658.0,
1,0.0,
1,7692.0,
1,0.0,
41,331.1707317073171,1179811.1951219514
2,4067.5,1081920.5
1,2117.0,
3,0.0,0.0
2,0.0,0.0
1,0.0,
3,609.3333333333334,1113861.3333333333
1,0.0,
30,595.5333333333333,3013515.981609196
3,1392.0,1484577.0
2,0.0,0.0
2,6034.5,70312.5
1,0.0,
33,585.4848484848485,2666514.445075758
3,481.3333333333333,695045.3333333334
1,0.0,
2,1976.0,7809152.0
1,7406.0,
18,1672.1666666666667,7788596.382352941
1,0.0,
1,0.0,
1,0.0,
2,2253.0,10152018.0
23,758.8260869565217,2203782.422924901
4,1612.25,3503721.583333334
1,3752.0,
23,1476.2173913043478,5426132.814229249
1,0.0,
1,7035.0,
1,3674.0,
8,696.875,1916149.5535714286
1,0.0,
1,0.0,
1,3182.0,
14,483.57142857142856,3273778.5714285714
2,0.0,0.0
7,792.2857142857143,4394016.571428572
1,6726.0,
4,0.0,0.0
1,0.0,
1,0.0,
1,0.0,
1,0.0,
1,0.0,
